row_number,url,status,path,error
23,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9719f2ce8c999ba0a21f0582758870ef.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00023_f3990890e051.webp,
24,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/591f7da93de2142c53c6cf6338db86ae.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_474b009284fc.webp,
24,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/6c4bbb65d2e92a23d4a169e45c1e0a8f.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00024_bd0e836137a0.webp,
25,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3b53c91c541dd227af8c4488acc07a80.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00025_3bd84ddebf80.webp,
26,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/824119965d855f5e7cc4bc369da84268.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00026_5525c69d24c0.webp,
27,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9a8d23a5d553ca3d01b5d8ef796bb8df.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00027_d1b3dbbca054.webp,
28,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/8372200d60b7d0e6f50e21e834ab3c70.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00028_31aba0b9e162.webp,
29,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/f55edcd95c7553d3ef3f2ce70b44f7ed.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00029_764318b37967.webp,
30,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3a09c0ccfe2147b810d51a7d3425217e.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00030_02ff529f85f0.webp,
30,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/642f2cf8747cda3187ac9bc091426bb2.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00030_df608a75317c.webp,
31,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3bcf4e0b01e23aae43dc23d9efe8accf.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00031_8b6f6cba8bb0.webp,
32,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/83a1407d67534499ceb9c408e5799386.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00032_8c44741b9962.webp,
32,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/88619537ae0f5354ca4453efb2c25872.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00032_8d3a1d4154fa.webp,
33,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3cf8afcacbef648bc3a00bd663ca43a9.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00033_f8a3ee683953.webp,
34,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/14d38162280429506fd3f9c41430d6c5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00034_c74006569666.webp,
35,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/7480c5138e79736e50dacb333ff7477f.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00035_7a6c3aca8363.webp,
36,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/d92ebe62a0770fda397c4efa7b43e57b.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00036_b23b1714ca91.webp,
37,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/3f3885c8f33512942f4e14e5c8653a2f.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00037_4d1812d2623f.webp,
38,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/66ee5810c0624971b2ae37a29f486a4f.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00038_5c9a1ac516cd.webp,
