epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3799.38,0.68977,1.17708,0.00472,0.1581,0.18914,0.10842,0.08129,0.74797,2.17832,0.00741,0.00024774,0.00024774,0.00024774
43,3887.15,0.68036,1.14792,0.00429,0.30227,0.18008,0.10942,0.08307,0.75448,2.27418,0.00745,0.000243611,0.000243611,0.000243611
44,3974.88,0.6898,1.1329,0.00443,0.28398,0.16916,0.10873,0.08178,0.75482,2.25068,0.00762,0.000239483,0.000239483,0.000239483
45,4061.69,0.70452,1.14414,0.00471,0.22017,0.20514,0.11148,0.081,0.76399,2.23771,0.00751,0.000235355,0.000235355,0.000235355
46,4147.4,0.69856,1.14607,0.00483,0.24073,0.18566,0.11717,0.08545,0.75655,2.30322,0.00756,0.000231226,0.000231226,0.000231226
47,4233.32,0.6857,1.0936,0.00463,0.31241,0.15655,0.10879,0.07794,0.76504,2.3739,0.00765,0.000227098,0.000227098,0.000227098
48,4319.77,0.69101,1.10407,0.00455,0.29349,0.1964,0.11182,0.08033,0.75532,2.27443,0.00753,0.00022297,0.00022297,0.00022297
49,4409.31,0.68896,1.08675,0.00482,0.27746,0.18327,0.12343,0.09672,0.75609,2.3308,0.00754,0.000218842,0.000218842,0.000218842
50,4501,0.66539,1.0221,0.00426,0.30516,0.19892,0.12803,0.1003,0.75897,2.328,0.00746,0.000214713,0.000214713,0.000214713
51,4588.67,0.67214,1.04377,0.0047,0.29903,0.19792,0.12672,0.10183,0.74877,2.3393,0.00743,0.000210585,0.000210585,0.000210585
52,4675.19,0.67036,1.03043,0.00441,0.38118,0.17416,0.11212,0.08872,0.76866,2.29581,0.0077,0.000206457,0.000206457,0.000206457
53,4762.4,0.67843,1.01633,0.00438,0.28332,0.17873,0.1114,0.08817,0.75788,2.36221,0.00745,0.000202328,0.000202328,0.000202328
54,4850.68,0.64901,0.96384,0.00421,0.41764,0.17037,0.09642,0.07529,0.75974,2.37734,0.00761,0.0001982,0.0001982,0.0001982
55,4938.57,0.65827,0.97028,0.00435,0.3267,0.14571,0.09373,0.07257,0.77,2.33316,0.0077,0.000194072,0.000194072,0.000194072
56,5024.88,0.65575,0.96142,0.00428,0.5171,0.12334,0.10473,0.08389,0.75544,2.39144,0.00759,0.000189943,0.000189943,0.000189943
57,5111.3,0.65188,0.93955,0.0044,0.44463,0.151,0.11139,0.08772,0.76062,2.41471,0.00759,0.000185815,0.000185815,0.000185815
58,5197.11,0.64214,0.92241,0.00401,0.46448,0.15389,0.11217,0.08821,0.76036,2.4141,0.00748,0.000181687,0.000181687,0.000181687
59,5282.69,0.64915,0.93981,0.00425,0.40615,0.16704,0.1231,0.0955,0.7646,2.42782,0.00753,0.000177559,0.000177559,0.000177559
60,5368.86,0.65051,0.91053,0.00409,0.36525,0.1827,0.11189,0.08731,0.7491,2.38349,0.00734,0.00017343,0.00017343,0.00017343
61,5455.06,0.64517,0.8961,0.00423,0.30937,0.2046,0.11174,0.08449,0.74536,2.4132,0.00731,0.000169302,0.000169302,0.000169302
62,5540.35,0.65951,0.90824,0.00431,0.26263,0.15823,0.09851,0.07226,0.74708,2.44587,0.00741,0.000165174,0.000165174,0.000165174
63,5626.49,0.6438,0.88699,0.0043,0.43716,0.15957,0.10089,0.07417,0.75135,2.44467,0.00744,0.000161045,0.000161045,0.000161045
64,5714.19,0.64134,0.87798,0.004,0.29049,0.15834,0.09729,0.07096,0.74988,2.47401,0.00741,0.000156917,0.000156917,0.000156917
65,5801.06,0.64518,0.87927,0.00423,0.30181,0.18651,0.11828,0.08728,0.75376,2.49457,0.00745,0.000152789,0.000152789,0.000152789
66,5901.7,0.65688,0.85656,0.00441,0.29105,0.17322,0.10971,0.07928,0.75589,2.45281,0.00757,0.00014866,0.00014866,0.00014866
67,5986.78,0.63352,0.84555,0.00422,0.2693,0.18009,0.10137,0.07665,0.75797,2.46709,0.00744,0.000144532,0.000144532,0.000144532
68,6070.28,0.64313,0.84966,0.00426,0.31874,0.17199,0.11812,0.08818,0.73778,2.49634,0.00736,0.000140404,0.000140404,0.000140404
69,6155.29,0.6444,0.83175,0.0041,0.31557,0.15644,0.11018,0.08066,0.73797,2.48458,0.00739,0.000136276,0.000136276,0.000136276
70,6239.43,0.63041,0.82066,0.0041,0.31179,0.16942,0.10949,0.08049,0.75039,2.44385,0.0075,0.000132147,0.000132147,0.000132147
71,6323.08,0.62797,0.8151,0.00409,0.29,0.1569,0.10273,0.07467,0.74527,2.4933,0.00736,0.000128019,0.000128019,0.000128019
72,6407.5,0.62186,0.81181,0.00405,0.29289,0.17033,0.10287,0.07518,0.74854,2.48711,0.00746,0.000123891,0.000123891,0.000123891
73,6496.6,0.6209,0.79914,0.00399,0.30469,0.14777,0.10554,0.07643,0.75352,2.46519,0.00746,0.000119762,0.000119762,0.000119762
74,6585.78,0.61312,0.79952,0.00395,0.43854,0.12491,0.11034,0.08031,0.7446,2.50201,0.0074,0.000115634,0.000115634,0.000115634
75,6675.63,0.63467,0.78225,0.00407,0.3796,0.14846,0.10679,0.0773,0.7481,2.49684,0.00748,0.000111506,0.000111506,0.000111506
76,6764.79,0.61464,0.76128,0.00408,0.42505,0.12495,0.10743,0.07792,0.75474,2.49385,0.00752,0.000107378,0.000107378,0.000107378
77,6852.06,0.61624,0.76919,0.00407,0.40979,0.14027,0.10671,0.07749,0.74458,2.57441,0.0074,0.000103249,0.000103249,0.000103249
78,6941.55,0.61328,0.75958,0.00402,0.42241,0.12971,0.10622,0.07732,0.74196,2.57963,0.00738,9.91209e-05,9.91209e-05,9.91209e-05
79,7028.81,0.61531,0.75692,0.0039,0.41254,0.1348,0.10526,0.07563,0.74719,2.54654,0.00749,9.49926e-05,9.49926e-05,9.49926e-05
80,7118.22,0.60522,0.75314,0.00387,0.3095,0.14842,0.10622,0.07602,0.74906,2.55733,0.00751,9.08643e-05,9.08643e-05,9.08643e-05
81,7207.52,0.61879,0.77082,0.00411,0.31795,0.14575,0.1095,0.07872,0.74332,2.61997,0.00742,8.6736e-05,8.6736e-05,8.6736e-05
82,7297.9,0.61544,0.75817,0.00406,0.30572,0.13809,0.10965,0.07994,0.74224,2.60904,0.00736,8.26077e-05,8.26077e-05,8.26077e-05
83,7386.15,0.59921,0.73278,0.00394,0.27892,0.16156,0.1043,0.07514,0.74301,2.59613,0.00743,7.84794e-05,7.84794e-05,7.84794e-05
84,7476.27,0.60837,0.72841,0.00402,0.37968,0.13437,0.10597,0.0758,0.74932,2.57135,0.00756,7.43511e-05,7.43511e-05,7.43511e-05
85,7565.6,0.59792,0.7357,0.00404,0.26952,0.1738,0.10825,0.07724,0.74563,2.57714,0.00742,7.02228e-05,7.02228e-05,7.02228e-05
86,7654.97,0.61189,0.72565,0.00387,0.3977,0.12168,0.10448,0.07476,0.75014,2.60918,0.00751,6.60945e-05,6.60945e-05,6.60945e-05
87,7745.51,0.61417,0.75246,0.00391,0.4041,0.1264,0.10676,0.07597,0.76303,2.60589,0.00768,6.19662e-05,6.19662e-05,6.19662e-05
88,7832.85,0.60732,0.72229,0.00383,0.27874,0.16584,0.10583,0.07514,0.75312,2.59487,0.00759,5.78379e-05,5.78379e-05,5.78379e-05
89,7920.4,0.59775,0.72003,0.00391,0.28841,0.16469,0.10382,0.07351,0.74862,2.57637,0.00754,5.37096e-05,5.37096e-05,5.37096e-05
90,8007.79,0.59824,0.69468,0.00388,0.2841,0.16528,0.10299,0.07379,0.74896,2.60462,0.00746,4.95813e-05,4.95813e-05,4.95813e-05
91,8087.31,0.5653,0.65122,0.00425,0.26067,0.1716,0.10217,0.07295,0.77199,2.60997,0.00773,4.5453e-05,4.5453e-05,4.5453e-05
92,8165.26,0.56037,0.62686,0.00415,0.26007,0.17142,0.10255,0.07382,0.78029,2.64007,0.00786,4.13247e-05,4.13247e-05,4.13247e-05
93,8248.24,0.54468,0.59235,0.00433,0.25955,0.16144,0.10522,0.07634,0.76733,2.61931,0.00771,3.71964e-05,3.71964e-05,3.71964e-05
94,8330.24,0.54346,0.57293,0.00426,0.26795,0.17941,0.10262,0.07377,0.76344,2.61535,0.00776,3.30681e-05,3.30681e-05,3.30681e-05
95,8409.29,0.53688,0.56604,0.00402,0.274,0.15365,0.10558,0.0762,0.76895,2.61086,0.00787,2.89398e-05,2.89398e-05,2.89398e-05
96,8491.71,0.53654,0.56465,0.0043,0.38336,0.13835,0.10091,0.07233,0.75219,2.64556,0.00763,2.48115e-05,2.48115e-05,2.48115e-05
97,8573.96,0.5288,0.54499,0.00418,0.3118,0.13634,0.10017,0.07166,0.75099,2.64328,0.00761,2.06832e-05,2.06832e-05,2.06832e-05
98,8661.28,0.5252,0.54611,0.00405,0.2665,0.15433,0.10109,0.07311,0.74751,2.64047,0.00754,1.65549e-05,1.65549e-05,1.65549e-05
99,8747.1,0.52917,0.54578,0.00392,0.27606,0.16139,0.10041,0.07284,0.7467,2.63724,0.00751,1.24266e-05,1.24266e-05,1.24266e-05
100,8833.12,0.53137,0.55219,0.00395,0.27792,0.14909,0.10341,0.07444,0.75136,2.64048,0.00765,8.2983e-06,8.2983e-06,8.2983e-06
