epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5492,2.11671,2.87374,1.45717,0.01385,0.52012,0.0624,0.02314,1.8943,3.39256,1.50769,0.000648649,0.000648649,0.000648649
2,26.7625,1.98062,1.85484,1.32488,0.65422,0.28689,0.43106,0.18185,1.92239,2.51293,1.38628,0.00105488,0.00105488,0.00105488
3,33.1192,1.91401,1.72515,1.30832,0.6117,0.57079,0.56792,0.25338,1.8636,1.87304,1.39717,0.00119712,0.00119712,0.00119712
4,39.476,1.8663,1.57452,1.29525,0.67234,0.61177,0.61712,0.28282,1.85798,1.68418,1.34368,0.000812,0.000812,0.000812
5,45.8189,1.80719,1.47768,1.26017,0.72844,0.63563,0.67553,0.32708,1.79509,1.46877,1.33546,0.000416,0.000416,0.000416
