epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5366,1.93497,4.13988,0.00659,0.54184,0.49031,0.45115,0.17309,2.14048,2.30428,0.01224,0.000648649,0.000648649,0.000648649
2,60.8281,2.00578,2.02047,0.00687,0.47645,0.42548,0.3781,0.14128,2.22439,2.65706,0.01368,0.00130663,0.00130663,0.00130663
3,87.9253,1.99901,1.86091,0.00678,0.57825,0.41505,0.42162,0.16295,2.21322,2.46199,0.0135,0.00195582,0.00195582,0.00195582
